Código,Nome,Volume,Última (R$),Variação
MGLU3,Magazine Luiza,111.456.800,3,18,+0,95%
VALE3,Vale,57.287.600,65,46,+0,94%
VIIA3,Via,56.774.500,2,12,+2,42%
PETR4,Petrobras,55.194.300,29,50,-0,51%
HAPV3,Hapvida,51.542.700,4,37,+1,39%
B3SA3,B3,47.333.200,14,36,+1,27%
CIEL3,Cielo,31.016.700,4,65,+4,97%
HBSA3,Hidrovias do Brasil,29.469.600,3,42,+4,59%
ITUB4,Itaú Unibanco,27.738.800,29,14,+1,89%
CVCB3,CVC,26.955.000,3,43,+6,19%
LREN3,Lojas Renner,21.918.200,20,42,+3,13%
BBDC4,Banco Bradesco,21.703.000,16,28,+0,68%
PETZ3,Petz,21.041.800,7,27,+8,51%
COGN3,Cogna,19.499.200,3,31,+3,76%
RAIZ4,Raízen,18.785.600,4,20,+0,96%
ABEV3,Ambev,18.082.900,14,85,+0,13%
BRFS3,BRF,17.311.400,10,08,+7,23%
GOLL4,GOL,16.927.300,12,00,+0,84%
AMER3,Americanas,14.070.800,1,16,+1,75%
USIM5,Usiminas,13.449.300,7,53,+2,17%
RRRP3,3R Petroleum,12.945.800,32,25,+7,04%
CSAN3,Cosan,12.728.300,18,96,+3,78%
EQTL3,Equatorial Energia,12.574.200,32,97,+0,89%
RAIL3,Rumo,12.543.500,22,72,+1,34%
ANIM3,Ânima Educação,12.162.900,4,20,+4,22%
ASAI3,Assaí,12.149.100,14,00,+3,02%
ITSA4,Itaúsa,11.870.100,9,74,+1,35%
BBAS3,Banco do Brasil,11.504.900,49,96,+1,94%
AZUL4,Azul,11.503.100,19,32,+0,94%
IFCM3,Infracommerce,11.253.900,2,09,+10,00%
CSNA3,Siderúrgica Nacional,11.194.100,12,72,+4,61%
OIBR3,Oi,10.755.800,1,03,+1,98%
PRIO3,PetroRio,10.665.300,39,35,+3,15%
CMIG4,CEMIG,10.398.100,12,60,+0,80%
VBBR3,Vibra Energia,9.825.900,18,31,+2,23%
NTCO3,Natura,9.809.700,16,73,+0,72%
JBSS3,JBS,9.604.100,17,75,+0,62%
UGPA3,Ultrapar,9.481.100,19,30,+4,61%
VAMO3,Grupo Vamos,9.448.200,11,90,+1,71%
SOMA3,Grupo Soma,9.156.000,12,02,+0,50%
SEQL3,Sequoia Logística,9.043.800,1,48,+0,00%
POMO4,Marcopolo,8.901.700,5,01,+2,24%
ODPV3,Odontoprev,8.807.200,12,85,+5,94%
MRVE3,MRV,8.682.800,13,29,+2,78%
CPLE6,Copel,8.580.500,8,10,+0,00%
PETR3,Petrobras,8.279.200,33,13,-0,54%
AERI3,Aeris Energy,7.842.500,1,36,+3,03%
BOAS3,Boa Vista,7.720.100,7,99,+0,13%
ALPA4,Alpargatas,7.585.000,9,20,+0,88%
CCRO3,Grupo CCR,7.540.000,13,78,+1,55%
EMBR3,Embraer,7.464.600,18,23,-1,99%
LIGT3,Light,7.384.600,8,64,-1,82%
GGBR4,Gerdau,7.363.100,26,14,+2,23%
GFSA3,Gafisa,7.156.700,6,36,-0,31%
PCAR3,Grupo Pão de Açúcar,7.080.300,22,14,+10,15%
IRBR3,IRB Brasil RE,7.012.000,52,36,+7,45%
CYRE3,Cyrela,6.985.800,21,05,+5,73%
ENEV3,Eneva,6.789.000,12,49,+2,04%
TIMS3,TIM,6.661.800,14,19,+0,78%
BEEF3,Minerva,6.529.600,10,52,+0,77%
CMIN3,CSN Mineração,6.141.800,4,21,+2,18%
FLRY3,Fleury,6.091.100,16,21,+0,43%
CRFB3,Carrefour Brasil,6.060.700,11,63,+5,82%
ELET3,Eletrobras,5.801.900,39,52,+1,36%
RENT3,Localiza,5.788.300,70,14,+1,29%
AMAR3,Lojas Marisa,5.561.000,0,91,+5,81%
MRFG3,Marfrig,5.529.500,7,49,+2,74%
BRAP4,Bradespar,5.519.800,22,14,+0,87%
LWSA3,Locaweb,5.376.300,8,52,+1,19%
MOVI3,Movida,5.262.300,11,50,+5,50%
GMAT3,Grupo Mateus,4.977.400,8,02,+0,25%
CBAV3,CBA,4.836.000,5,22,+2,96%
YDUQ3,YDUQS,4.675.400,20,00,+0,25%
TEND3,Construtora Tenda,4.628.500,13,22,+6,61%
RDOR3,Rede D'Or,4.594.200,31,64,+1,41%
GOAU4,Metalúrgica Gerdau,4.573.800,12,37,+2,23%
RADL3,RaiaDrogasil,4.452.500,28,49,+1,57%
ENBR3,EDP Brasil,4.402.300,23,66,+0,08%
LJQQ3,Lojas Quero-Quero,4.274.300,6,39,+3,06%
ONCO3,Oncoclínicas,4.247.500,10,53,+1,84%
WEGE3,WEG,4.221.200,37,00,+0,30%
HYPE3,Hypera,3.998.300,45,74,-0,33%
SUZB3,Suzano,3.963.800,44,51,+0,91%
RECV3,PetroRecôncavo,3.946.100,20,52,+6,54%
SIMH3,Simpar,3.838.100,9,48,+5,92%
BBSE3,BB Seguridade,3.682.400,31,32,+0,19%
JHSF3,JHSF,3.649.600,5,46,+3,41%
DXCO3,Dexco,3.580.200,8,24,+3,52%
BPAN4,Banco Pan,3.508.100,9,05,+3,90%
STBP3,Santos Brasil,3.373.100,10,39,+2,77%
ALSO3,Aliansce Sonae,3.286.300,25,47,+1,72%
BBDC3,Banco Bradesco,3.277.600,14,50,+1,05%
EZTC3,EZTEC,3.064.000,19,89,+5,46%
MBLY3,Mobly,3.040.300,4,32,+0,00%
KRSA3,Kora Saúde,2.895.500,1,10,+10,00%
CEAB3,C&A,2.886.700,5,74,+3,42%
ESPA3,Espaçolaser,2.813.000,2,04,+6,81%
